departure,time,flight,airline,info_url,status,is_departure
Chennai (MAA),07:30,I51530,AirAsia India,https://www.bangaloreairport.com/kempegowda-flight-departure/I51530,Landed - On-time [+],True
London (LHR),07:30,"BA118
AA6656","British Airways
American Airlines",https://www.bangaloreairport.com/kempegowda-flight-departure/BA118,En Route [+],True
Hyderabad (HYD),07:35,I51576,AirAsia India,https://www.bangaloreairport.com/kempegowda-flight-departure/I51576,Landed - On-time [+],True
Thiruvananthapuram (TRV),07:35,6E6501,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E6501,Landed - On-time [+],False
Delhi (DEL),07:40,G8116,Go First,https://www.bangaloreairport.com/kempegowda-flight-departure/G8116,Landed - On-time [+],True
Mumbai (BOM),07:40,G8317,Go First,https://www.bangaloreairport.com/kempegowda-flight-arrival/G8317,Landed - On-time [+],False
Hyderabad (HYD),07:40,SG7614,SpiceJet,https://www.bangaloreairport.com/kempegowda-flight-departure/SG7614,Landed - On-time [+],True
Coimbatore (CJB),07:45,6E857,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E857,Landed - On-time [+],True
Nagpur (NAG),07:45,6E909,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E909,Landed - On-time [+],False
Kochi (COK),07:45,G8805,Go First,https://www.bangaloreairport.com/kempegowda-flight-arrival/G8805,Unknown [+],False
Delhi (DEL),07:50,6E2186,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E2186,Landed - On-time [+],True
Mumbai (BOM),07:50,UK845,Vistara,https://www.bangaloreairport.com/kempegowda-flight-arrival/UK845,Landed - On-time [+],False
Sharjah (SHJ),07:50,6E1418,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E1418,Landed - DIVERTED [+],False
Jaipur (JAI),07:50,6E839,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E839,Landed - On-time [+],False
Coimbatore (CJB),07:55,6E475,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E475,Landed - On-time [+],False
Delhi (DEL),08:00,UK808,Vistara,https://www.bangaloreairport.com/kempegowda-flight-departure/UK808,Landed - On-time [+],True
Guwahati (GAU),08:00,6E457,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E457,Landed - On-time [+],True
Kolkata (CCU),08:05,6E379,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E379,Landed - On-time [+],False
Mumbai (BOM),08:05,6E5323,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E5323,Landed - On-time [+],True
Delhi (DEL),08:05,SG191,SpiceJet,https://www.bangaloreairport.com/kempegowda-flight-arrival/SG191,Landed - On-time [+],False
Mumbai (BOM),08:10,G8395,Go First,https://www.bangaloreairport.com/kempegowda-flight-departure/G8395,Landed - On-time [+],True
Ahmedabad (AMD),08:15,6E823,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E823,Landed - On-time [+],False
Jaipur (JAI),08:15,G8805,Go First,https://www.bangaloreairport.com/kempegowda-flight-departure/G8805,Landed - On-time [+],True
Hyderabad (HYD),08:15,6E413,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E413,Landed - On-time [+],False
Bhubaneswar (BBI),08:20,6E393,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E393,Landed - On-time [+],False
Kolkata (CCU),08:25,SG516,SpiceJet,https://www.bangaloreairport.com/kempegowda-flight-arrival/SG516,Landed - Delayed [+],False
Allahabad (IXD),08:25,6E5998,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E5998,En Route [+],True
Mumbai (BOM),08:30,UK846,Vistara,https://www.bangaloreairport.com/kempegowda-flight-departure/UK846,Landed - On-time [+],True
Patna (PAT),08:30,6E255,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E255,Landed - On-time [+],True
Mumbai (BOM),08:30,6E6463,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E6463,Landed - Delayed [+],False
Kochi (COK),08:35,I51452,AirAsia India,https://www.bangaloreairport.com/kempegowda-flight-arrival/I51452,Landed - On-time [+],False
Thiruvananthapuram (TRV),08:35,6E688,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E688,Landed - On-time [+],True
Kolkata (CCU),08:40,6E455,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E455,Landed - On-time [+],True
Delhi (DEL),08:40,UK811,Vistara,https://www.bangaloreairport.com/kempegowda-flight-arrival/UK811,Landed - On-time [+],False
