,fight_img,fight_name,orgin_code,orgin_date,orgin_time,orgin_city,dest_code,dest_date,dest_time,dest_city,duration_of_flight,duration_stops,flight_price,discount_credit
28,https://images.ixigo.com/img/common-resources/airline-new/6E.png,INDIGO,BLR,"Thu, 23 Dec",07:50,Bengaluru,DEL,"Thu, 23 Dec",10:50,New Delhi,3hr,non-stop,7698,₹600 Instant Off
29,https://images.ixigo.com/img/common-resources/airline-new/SG.png,SPICEJET,BLR,"Thu, 23 Dec",15:40,Bengaluru,DEL,"Thu, 23 Dec",21:15,New Delhi,5hr 35min,1 stop,7434,₹600 Instant Off
30,https://images.ixigo.com/img/common-resources/airline-new/SG.png,SPICEJET,BLR,"Thu, 23 Dec",06:55,Bengaluru,DEL,"Thu, 23 Dec",19:45,New Delhi,12hr 50min,1 stop,7434,₹600 Instant Off
31,https://images.ixigo.com/img/common-resources/airline-new/SG.png,SPICEJET,BLR,"Thu, 23 Dec",15:40,Bengaluru,DEL,"Fri, 24 Dec",11:20,New Delhi,19hr 40min,1 stop,7434,₹600 Instant Off
32,https://images.ixigo.com/img/common-resources/airline-new/UK.png,VISTARA,BLR,"Thu, 23 Dec",08:00,Bengaluru,DEL,"Thu, 23 Dec",10:40,New Delhi,2hr 40min,non-stop,7909,₹600 Instant Off
33,https://images.ixigo.com/img/common-resources/airline-new/UK.png,VISTARA,BLR,"Thu, 23 Dec",11:30,Bengaluru,DEL,"Thu, 23 Dec",14:10,New Delhi,2hr 40min,non-stop,7909,₹600 Instant Off
34,https://images.ixigo.com/img/common-resources/airline-new/I5.png,AIRASIA INDIA,BLR,"Thu, 23 Dec",18:50,Bengaluru,DEL,"Fri, 24 Dec",00:10,New Delhi,5hr 20min,1 stop,7910,₹600 Instant Off
35,https://images.ixigo.com/img/common-resources/airline-new/I5.png,AIRASIA INDIA,BLR,"Thu, 23 Dec",05:40,Bengaluru,DEL,"Thu, 23 Dec",12:00,New Delhi,6hr 20min,1 stop,7910,₹600 Instant Off
36,https://images.ixigo.com/img/common-resources/airline-new/I5.png,AIRASIA INDIA,BLR,"Thu, 23 Dec",11:45,Bengaluru,DEL,"Thu, 23 Dec",18:20,New Delhi,6hr 35min,1 stop,7910,₹600 Instant Off
37,https://images.ixigo.com/img/common-resources/airline-new/I5.png,AIRASIA INDIA,BLR,"Thu, 23 Dec",12:50,Bengaluru,DEL,"Thu, 23 Dec",20:10,New Delhi,7hr 20min,1 stop,7910,₹600 Instant Off
38,https://images.ixigo.com/img/common-resources/airline-new/I5.png,AIRASIA INDIA,BLR,"Thu, 23 Dec",18:30,Bengaluru,DEL,"Fri, 24 Dec",02:10,New Delhi,7hr 40min,1 stop,7910,₹600 Instant Off
39,https://images.ixigo.com/img/common-resources/airline-new/I5.png,AIRASIA INDIA,BLR,"Thu, 23 Dec",07:15,Bengaluru,DEL,"Thu, 23 Dec",15:30,New Delhi,8hr 15min,1 stop,7910,₹600 Instant Off
40,https://images.ixigo.com/img/common-resources/airline-new/I5.png,AIRASIA INDIA,BLR,"Thu, 23 Dec",17:05,Bengaluru,DEL,"Fri, 24 Dec",02:10,New Delhi,9hr 5min,1 stop,7910,₹600 Instant Off
41,https://images.ixigo.com/img/common-resources/airline-new/6E.png,INDIGO,BLR,"Thu, 23 Dec",20:15,Bengaluru,DEL,"Fri, 24 Dec",01:05,New Delhi,4hr 50min,1 stop,8046,₹600 Instant Off
